gene,I24C,I24N,I27C,I27N,I29C,I29N
ENSG00000037757,485,310,504,364,489,200
ENSG00000037897,284,85,207,114,385,107
ENSG00000037965,1,0,21,1,0,0
ENSG00000038002,391,613,413,522,426,872
ENSG00000038210,984,1354,836,921,1557,953
ENSG00000038219,1188,1155,882,823,1358,439
ENSG00000038274,1416,2982,1717,1816,1842,3658
ENSG00000038295,18,57,12,31,20,12
ENSG00000038358,1166,1175,839,884,1353,615
ENSG00000038382,3471,1502,1177,1148,3694,370
ENSG00000038427,6219,883,2199,1041,1445,289
ENSG00000038532,407,605,462,489,625,125
ENSG00000038945,332,296,236,550,193,280
ENSG00000039068,13885,22169,10818,14223,11356,3759
ENSG00000039123,1933,1377,1138,1370,1575,1100
ENSG00000039139,54,15,15,4,123,0
ENSG00000039319,1093,1081,984,1048,954,546
ENSG00000039523,792,146,320,197,744,25
ENSG00000039537,6,34,8,18,12,28
ENSG00000039560,1437,947,587,603,453,394
ENSG00000039600,24,8,5,11,3,7
ENSG00000039650,490,370,436,350,572,263
ENSG00000039987,0,1520,287,971,95,451
ENSG00000040199,167,3699,1419,2086,517,882
ENSG00000040275,556,264,261,182,369,166
ENSG00000040341,935,1107,706,805,971,815
ENSG00000040487,117,180,139,127,241,151
ENSG00000040531,218,158,115,146,196,129
ENSG00000040608,52,22,44,41,31,51
ENSG00000040633,537,803,523,564,583,536
ENSG00000040731,0,1,1,2,0,0
ENSG00000040933,374,499,510,283,886,135
ENSG00000041353,43,949,312,537,867,520
ENSG00000041357,3587,3316,2714,2378,2487,4974
ENSG00000041515,3,4,6,2,13,1
ENSG00000041802,992,723,719,733,1236,342
ENSG00000041880,303,512,391,235,706,460
ENSG00000041982,5375,193,639,294,1015,11
ENSG00000041988,138,213,120,112,172,243
ENSG00000042062,66,86,27,49,115,25
ENSG00000042088,380,230,257,250,538,222
ENSG00000042286,1015,728,703,909,409,368
ENSG00000042304,0,0,0,0,0,0
ENSG00000042317,178,102,148,92,203,151
ENSG00000042429,577,444,167,236,593,258
ENSG00000042445,1655,13099,5068,8268,1371,8436
ENSG00000042493,3281,3566,1997,1273,2014,2636
ENSG00000042753,1439,1292,1316,1066,1040,2229
ENSG00000042781,3,1,7,0,27,4
ENSG00000042813,0,0,1,0,2,0
ENSG00000042832,98,51,40,3,176,22
ENSG00000042980,106,876,419,716,441,325
ENSG00000043039,4,449,179,286,314,381
